"You will be redirected to the Internetkassa in a few seconds.","You will be redirected to the Internetkassa in a few seconds."
"No HTML response! Missing POST/GET vars in return URL from payment processor.","No HTML response! Missing POST/GET vars in return URL from payment processor."
"Order identifier is not valid!","Order identifier is not valid!"
"Amount order is not valid!","Amount order is not valid!"
"No payment method found for this order!","No payment method found for this order!"
"No payment method or brand not valid for this order!","No payment method or brand not valid for this order!"
"Feedback signature (SHA1Sign) is not valid!","Feedback signature (SHA1Sign) is not valid!"
"Customer was redirected to Internetkassa.","Customer was redirected to Internetkassa."
"Payment was canceled by customer.","Payment was canceled by customer."
"You cancelled the payment. Please try again.","You cancelled the payment. Please try again."
"Payment was declined by processor.","Payment was declined by processor."
"The payment processor declined your payment. Please try again.","The payment processor declined your payment. Please try again."
"There was an exception. Payment failed.","There was an exception. Payment failed."
"There was an exception. Your order was cancelled. Please try again.","Er was een uitzondering. De betaling is mislukt. Probeer opnieuw."
"Customer successfully returned from Internetkassa.","Customer successfully returned from Internetkassa."
"An unexpected error occurred. Payment failed.","An unexpected error occurred. Payment failed."
"An unexpected error occurred. Your order was cancelled. Please try again.","An unexpected error occurred. Your order was cancelled. Please try again."
"Automatic update: payment successful!","Automatic update: payment successful!"
"Automatic update: customer was rejected by Internetkassa","Automatic update: customer was rejected by Internetkassa."
"Customer returned from Internetkassa.","Customer returned from Internetkassa."
"Paid with Internetkassa","Paid with Internetkassa"
"Card type","Card type"
"Processor","Processor"
"Choose your payment method","Choose your payment method"
"You have to choose a payment method!","You have to choose a payment method!"